All,Alle
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} anbefales ikke til bruk i et produksjonsmiljø for å erklære Base usikker URL / Base sikre URL. Vi anbefaler å endre denne verdien i Magento <a href=""%1""> konfigurasjon</a>."
"One or more of the Cache Types are invalidated: %1. ","En eller flere av Cache-typene er invalidert: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Gå til <a href=""%1"">Cache Behandling</a> og velg oppdater Cashe-typer."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Vi kunne ikke synkronisere én eller flere mediefiler. Se loggfilen for detaljer."
"Synchronization of media storages has been completed.","Synkronisering av media lagringen er fullført."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Webserveren er konfigurert feil og gir uautorisert tilgang til sensitive filer. Kontakt din leverandør."
"System Messages:",Systemmeldinger:
"Critical System Messages","Kritiske systemmeldinger"
"Major System Messages","Store systemmeldinger"
"System messages",Systemmeldinger
Close,Lukk
"See All (","Se alle ("
" unread)"," uleste)"
"System Messages",Systemmeldinger
"Show Toolbar","Vis verktøylinje"
"Show List","Vis liste"
"Use HTTPS to Get Feed","Bruk HTTPS for å få tjener"
"Update Frequency",Oppdateringsfrekvens
"Last Update","Siste oppdatering"
Severity,Alvorlighetsgrad
"Date Added","Dato lagt til"
Message,Beskjed
Actions,Handlinger
"Manage Shopping Cart","Administrere handlekurv"
"Create Order","Opprette ordre"
Back,Tilbake
"Add Products","Legg til produkter"
"Update Items and Quantities","Oppdatere varer og antall"
"Are you sure you want to clear your cart?","Er du sikker på at du vil tømme handlekurven?"
"Clear my shopping cart","Tøm min handlekurv"
"Add selections to my cart","Legg valgte produkter i handlevognen min"
Cancel,Avbryt
"Shopping Cart for %1 in %2","Handlekurv for %1 i %2"
"Select products you want to buy","Velg produkter du ønsker å kjøpe"
Product,Produkt
Price,Pris
Quantity,Antall
"Products in the Comparison List (%1)","Produkter i sammenlignings-listen (%1)"
"Last ordered items (%1)","Siste bestilte varer (%1)"
Products,Produkter
SKU,Varenummer
"Recently Compared Products (%1)","Nylig sammenlignede produkter (%1)"
"Recently Viewed Products (%1)","Nylig viste produkter (%1)"
"Add to Shopping Cart by SKU","Legg til handlekurv etter SKU"
"Add to Shopping Cart","Legg til handlekurv"
"Wish List (%1)","Ønskeliste (%1)"
Apply,Anvend
Configure,Konfigurer
"Add to Order by SKU","Legge til ordre etter SKU"
"Add to Order","Legge til ordre"
"Add Products to Order","Legg produkter til ordren"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(er) krever tilsyn.</span>"
"Remove All","Fjern alle"
"Only %1%2%3 left in stock","Bare %1%2%3 igjen på lager"
"You can buy up to %1 of these per purchase.","Du kan kjøpe %1 av disse per innkjøp."
"You must buy at least %1 of these per purchase.","Du må kjøpe minst %1 av disse per innkjøp."
"Specify the product's options.","Angi alternativ for produktet."
"Alert me when this item is available.","Varsle meg når dette produkt er tilgjengelig."
"This customer couldn't be found. Verify the customer and try again.","Denne kunden ble ikke funnet. Kontroller kunden og prøv igjen."
"Shopping cart management is disabled for this customer.","Administrasjon av handlekurv er deaktivert for denne kunden."
"This store couldn't be found. Verify the store and try again.","Denne butikken ble ikke funnet. Kontroller butikken, og prøv på nytt."
Customers,Kunder
"Shopping Cart",Handlekurv
"An error occurred. For details, see the error log.","En feil har oppstått. For detaljer, se feil-loggen."
"You do not have access to this.","Du har ikke tilgang til dette."
"The ordered item needs to be loaded. Load the item and try again.","Den bestilte varen må lastes. Last inn elementet, og prøv på nytt."
"The quote item ID needs to be received. Set the ID and try again.","ID'en for tilbudselementet må mottas. Angi ID'en og prøv igjen."
"The quote item needs to be loaded. Load the item and try again.","Den bestilte varen må lastes. Last inn varen, og prøv på nytt."
"The wish list item ID needs to be received. Set the ID and try again.","Vare-ID'en på ønskelisten må mottas. Angi ID'en og prøv igjen."
"The wish list item needs to be loaded. Load the item and try again.","Varen på ønskelisten må lastes. Last inn elementet, og prøv på nytt."
"An error has occurred. See error log for details.","Det har oppstått en feil. Se i feilloggen for mer informasjon."
"You cannot configure a product.","Du kan ikke konfigurere et produkt."
"You removed the items.","Du fjernet elementene."
"You removed the item.","Du fjernet varen."
"You added %1 to your shopping cart.","Du har lagt til %1 i handlekurven."
"You cannot add a product.","Du kan ikke legge til et produkt."
"Order by SKU","Sorter etter SKU"
"The SKU was not found in the catalog.","Produktet med denne SKU verdien ble ikke funnet i katalogen."
"Availability: Out of stock.","Tilgjengelighet: Ikke på lager."
"We don't have as many of these as you want.","Vi har ikke så mange av disse som du ønsker."
"You can't add this many to your cart.","Du kan ikke legge til så mange i din handlekurv."
"You need to choose options for your item.","Velg ønsket variant av produktet av produktet."
"We can't add the item to your cart.","Vi kan ikke legge til elementet i handlekurven."
"Please enter an actual number in the ""Qty"" field.","Vennligst oppgi faktisk antall i ""Antall"" feltet."
"This product is assigned to another website.","Dette produktet tilhører en annen webside."
"You can add only enabled products.","Du kan bare legge til aktiverte produkter."
"You cannot upload this file.","Du kan ikke laste opp denne filen."
"The file is empty.","Filen er tom."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Du har ikke lagt inn et produktnummer (SKU). Vennligst <a href=""%1"">klikk her</a> for å legge til proukt(er) ved produktnummer (SKU)."
"You have not entered a product SKU.","Du har ikke lagt inn et produktnummer (SKU)."
"We can't add a product to cart by id ""%1"".","Vi kan ikke legge til et produkt av id ""%1""."
"Something went wrong while reordering this product.","Noe gikk galt med bestillingen av dette produktet."
"We can't find this wish list.","Vi finner ikke denne ønskeliste."
"You added %1 product to your shopping cart.","Du la %1 produkt til handlekurven."
"You added %1 products to your shopping cart.","Du la %1 produkt til handlekurven."
"%1 product requires your attention.","%1 produkt krever din oppmerksomhet."
"%1 products require your attention.","%1 produkter krever din oppmerksomhet."
"Yes, for Specified Customer Groups","Ja, for angitte kundegrupper"
"Yes, for Everyone","Ja, for alle"
No,Nei
"The file is corrupt and can't be used.","Filen er skadet og kan ikke brukes."
"Please upload the file in .csv format.","Vennligst opplast filen i .csv format."
"%1 item(s) need your attention.","%1 element(er) krever din oppmerksomhet."
"Apply Coupon Code","Bruk kupongkode"
"Remove Coupon Code","Fjern kupong kode"
"The coupon code ""%1"" is not valid.","Rabattkode ""%1"" er ikke gyldig."
"Shopping Cart Items",Handlekurvelementer
Qty,Antall
Subtotal,Delsum
Discount,Rabatt
"Row Subtotal","Rad delsum"
Action,Handling
"No ordered items","Ingen bestilte varer"
"Total %1 product(s)","Totalt %1 produkt(er)"
Subtotal:,Delsum:
"Please select","Vennligst velg"
"Move to Wish List","Flytt til ønskeliste"
"No item specified.","Ingen elementer er angitt."
"Are you sure you want to remove this item?","Er du sikker på at du vil fjerne denne varen?"
"SKU number","SKU nummer"
"Upload File","Last opp fil"
"Your csv file must include ""sku"" and ""qty"" columns.","CSV-filen må inneholde kolonnene ""sku"" og ""qty""."
Reset,Nullstill
"SKU: ","Produktnummer (SKU): "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Bare <span id=""%1_max_allowed"">%2</span> på lager"
Item,Produkt
"See price before order confirmation.","Se priser før ordrebekreftelse."
"What's this?","Hva er dette?"
"Incl. Tax","Inkl. MVA"
"Excl. Tax","ex. moms"
"Edit item parameters","Rediger parametere"
Edit,Redigere
"Remove item","Fjern produkt"
"Products Requiring Attention","Produkter som krever din oppmerksomhet"
"Add to Cart","Legg i handlekurv"
File,Fil
"File extensions allowed: .csv","Tillatte filformater: .csv"
"Add Row","Legg til rad"
"Remove Row","Fjerne rad"
"Add Products By SKU","Legg til produkter ved produktnummer (SKU)"
"Shopping Cart Management","Handlekurv administrering"
"View Shopping Cart","Se handlekurv"
"View and modify Shopping Cart","Vis og endre handlekurv"
"Order by SKU Settings","Sorter etter produktnummer (SKU) innstillinger"
"Enable Order by SKU on My Account in Storefront","Aktiver Bestilling ved produktnummer (SKU) på Din Konto i Butikkfronten"
"Customer Groups",Kundegrupper
"Apply Coupon","Bruk rabattkode"
"Order by SKU Description","Bestill ved produktbeskrivelse"
"Display a Link to Loading a Spreadsheet","Vis en lenke til lasting av regneark"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definer hvorvidt en lenke til Min Konto &gt; Bestill ved produktnummer siden vil vises i widgeten"
"Link Text","Link Tekst"
"The text of the link to the My Account &gt; Order by SKU page","Teksten i koblingen til min konto &gt; rekkefølge etter produktnummer siden"
"Load a list of SKUs","Last liste over produktnummer"
"Order by SKU Template","Bestill ved produktmal"
"Please correct the data sent.","Korriger dataene som sendes."
"Entity type model '%1' is not found","Finner ikke enhetsmodellen '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Enhetstypemodellen må være en forekomst av \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Det finnes ingen produkttyper for eksport"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 klassen implementere ikke \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule",Salgsregel
"Index sales rule","Indeks salgsregel"
"Related Search Terms","Relaterte søkeord"
"Add New Search Term","Legge til nye søkeord"
button_label,knapp_etikett
"Missing search engine parameter.","Mangler søkemotor-parameter."
"Successful! Test again?","Vellykket! Teste igjen?"
"Connection failed! Test again?","Tilkobling mislyktes! Prøve igjen?"
"Enable Search Recommendations","Aktiver søk anbefalinger"
"When you enable this option your site may slow down.","Når du aktiverer dette alternativet kan webområdet bli tregt."
"Search Recommendations Count","Antall søk anbefalinger"
"Show Results Count for Each Recommendation","Vis antall resultat for hvert forslag"
"Enable Search Suggestions","Aktivere søkeforslag"
"Search Suggestions Count","Antall søke forslag"
"Show Results Count for Each Suggestion","Vis antall resultat for hvert forslag"
"Related search terms","Relaterte søkeord"
"Did you mean","Mente du"
"Search Query",Søkeord
Store,Butikk
Results,Resultater
Uses,Bruk
"Redirect URL","Omdirigere URL"
"Suggested Term","Foreslått begrep"
Yes,Ja
"RPC call failed, connection timed out after %time_out.","RPC-kallet mislyktes, tilkobling tidsavbrutt etter %time_out."
"Message has been rejected: %1","Meldingen ble avvist: %1"
"Error while checking if topic is synchronous","Feil under kontroll av om emnet er synkront"
"Subscription status",Påmeldingsstatus
"Sorry, there has been an error processing your request. Please try again later.","Beklager, det oppstod en feil under behandling av forespørselen. Prøv igjen senere."
"The time value is using an unsupported format. Enter a supported format and try again.","Tidsverdien bruker et format som ikke støttes. Angi et format som støttes, og prøv på nytt."
"Cron settings can't be saved","Cron alternativer kan ikke lagres"
"There was an error save new configuration value.","Det oppstod en feil under lagringen av ny konfigurasjonsverdi."
"Please select an industry.","Vennligst velg en bransje."
"--Please Select--","-Vennligst velg--"
"Command ""%1"" was not found.","Handlingen ""%1"" ble ikke funnet."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Utfylt data er ugyldig. Fyll inn som streng eller informasjon som kan bli konvertert til en streng."
"The data is invalid. Enter the data as a string and try again.","Informasjonen er ugyldig. Vennligst definer som en streng og forsøk igjen."
"The data is invalid. Use a valid cipher method and try again.","Informasjonen er ugyldig. Vennligst bruk en gyldig krypteringsmetode og forsøk igjen."
"Enter the encryption key and try again.","Fyll ut krypteringsnøkkelen og forsøk igjen."
"The ""%1"" source doesn't exist.","""%1"" eksisterer ikke."
"These arguments can't be empty ""%1""","Disse argumentene kan ikke være tom ""%1"""
"Cannot find predefined integration user!","Finner ikke den forhåndsdefinerte integreringsbrukeren!"
"File is not ready yet.","Filen er ikke klar ennå."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Base URL er endret, og rapportene blir oppdatert. Avansert rapportering vil være tilgjengelig når endringen er behandlet. Prøv igjen senere."
"Failed to synchronize data to the Magento Business Intelligence service. ","Kan ikke synkronisere data til Magento Business Intelligence service. "
"Retry Synchronization",Resynkronisering
TestMessage,TestMelding
"Apps and Games","Programmer og spill"
"Athletic/Sporting Goods",Atletisk/sportsbutikk
"Art and Design","Kunst og design"
"Advanced Reporting","Avansert rapportering"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Få ny innsikt og ta kommandoen over bedriftens ytelse, ved hjelp av våre dynamisk produkt, orden- og kunderapporter tilpasset kundedataene."
"Go to Advanced Reporting","Gå til avansert rapportering"
Configuration,Innstillinger
"Business Intelligence",Forretningsinformasjon
"BI Essentials","BI  Enkel"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Denne tilbyderen leverer en dynamsik rapportpakke som gir deg et rikt innsyn om din bedrift. Du kan få tilgang til dine rapporter sikkert via et personlig kontrollpanel utenfor din nettbutikk ved å følge denne linken.  ""Vis avanserte rapporter"" </br> For mer informasjon se <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">                 for betingelser og vilkår</a>."
"Advanced Reporting Service","Avansert rapporteringstjeneste"
"Time of day to send data","Tiden på dagen for å sende data"
"Industry Data","Industri Data"
Industry,Industri
"In order to personalize your Advanced Reporting experience, please select your industry.","For å tilpasse opplevelsen avansert rapportering, velg din bransje."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Få mer innsikt fra Magento bedriftsinformasjon</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Foretaksanalyse tilbyder gir deg en enkel og god oversikt hvordan bli flinkere i forhold til dataflyt</br>Les mer om dette her <a target=""_blank""      href=""https://dashboard.rjmetrics.com/v2/magento/signup/""> Magento BI Enkel og BI Pro</a>."
"Auto Parts","Automatiske deler"
"Baby/Children’s Apparel, Gear and Toys","Baby/barn klær, utstyr og leker"
"Beauty and Cosmetics","Skjønnhet og velvære"
"Books, Music and Magazines","Bøker, musikk og magasiner"
"Crafts and Stationery","Håndverk og skrivemateriell"
"Consumer Electronics",Forbrukerelektronikk
"Deal Site",Avtalenettsted
"Fashion Apparel and Accessories","Mote klær og tilbehør"
"Food, Beverage and Grocery","Mat, drikke og dagligvarer"
"Home Goods and Furniture","Hjem varer og møbler"
"Home Improvement",Oppussing
"Jewelry and Watches","Smykker og klokker"
"Mass Merchant",Massesalg
"Office Supplies",Kontorrekvisita
"Outdoor and Camping Gear",Friluftsutstyr
"Pet Goods","Kjæledyr utstyr"
"Pharma and Medical Devices","Farmasøytisk og medisinsk utstyr"
"Technology B2B","Teknologi B2B"
Other,Annet
Done,Utført
Retry,"Prøv på nytt"
"'Action Details - #' .","'Handlingsdetaljer - #'."
"%1 item(s) have been scheduled for update.""","%1 vare(r) er nå planlagt for oppdatering."""
"Bulk Actions Log","Logg for massebehandling"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid eksisterer ikke"
"Topic %1","Emnet %1"
"Something went wrong while processing the request.","Noe gikk galt ved prosessering av denne forespørselen."
"Error processing %key element of input data","Feil under behandling av % nøkkelelement fra inndata"
"Sorry, something went wrong during product prices update. Please see log for details.","Beklager, noe gikk galt under oppdatering av produktpriser. Vennligst se logg for mer informasjon."
"%1 item(s) are currently being updated.","%1 vare(r) er under oppdatering."
"Task ""%1"": ","Oppgave ""%1"": "
"%1 item(s) have been scheduled for update.","%1 vare(r) er nå planlagt for oppdatering."
"%1 item(s) have been successfully updated.","%1 vare(r) ble vellykket oppdatert."
"%1 item(s) failed to update","%1 element(er) kunne ikke oppdateres"
Details,Detaljer
"View Details","Vis detaljer"
Dismiss,Avbryt
"Pending, in queue...","Venter, i kø..."
"%1 items selected for mass update","%1 elementer valgt for masse oppdatering"
", %1 successfully updated",", %1 vellykket oppdatert"
", %1 failed to update",", %1 kunne ikke oppdatere"
"Something went wrong.","Noe gikk galt."
"Action Log",Handlingslogg
Report,Rapport
"Bulk Actions",Massehandlinger
"Action Logs",Handlingslogg
"Days Saved in Log","Dager lagret i loggen"
"Description of Operation","Beskrivelse av operasjonen"
Summary,Sammendrag
"Start Time",Starttid
"Items to Retry","Elementer til gjenforsøk"
"To retry, select the items and click “Retry”.","For å prøve pånytt, velg elementene og klikk på ""Prøv på nytt""."
"Items That Can’t Be Updated.","Elementer som ikke kan oppdateres."
"Meta Information",Meta-informasjon
Error,Feil
"Dismiss All Completed Tasks","Forkaste alle fullførte oppgaver"
"Action Details - #","Handlings-detaljer -#"
"Number of Records Affected","Antall poster som påvirkes"
"The role wasn't found for the user. Verify the role and try again.","Brukerens rolle ble ikke funnet. Kontroller rollen og prøv igjen."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Noe gikk galt ved kompileringen av en liste over tillatte ressurser. Du kan finne ut mer i unntaksloggen."
"You created the order.","Du opprettet ordren."
"Order saving error: %1","Ordrelagringsfeil: %1"
"Please choose a payment method.","Vennligst velg en betalingsmåte."
"We can't process your order right now. Please try again later.","Vi kan ikke behandle bestillingen akkurat nå. Prøv igjen senere."
"An error occurred on the server. Please try to place the order again.","Det oppstod en feil på serveren. Prøv å legge inn bestillingen på nytt."
"Credit Card: xxxx-%1","Kredittkort: xxxx-%1"
"amount %1","beløp %1"
failed.,mislyktes.
successful.,vellykket.
"Authorize.Net Transaction ID %1.","Authorize.Net Transaksjons ID %1."
authorize,autoriser
"authorize and capture","godkjenn og fang"
capture,fange
refund,tilbakebetaling
void,Ugyldig
"Gateway error: %1","Gateway-feil: %1"
"Something went wrong in the payment gateway.","Noe gikk galt i betalingsportalen."
"Invalid amount for capture.","Ugyldig beløp for mottak."
"Payment capturing error.","Fullføring av transaksjonen feilet."
"Invalid transaction ID.","Ugyldig transaksjons-ID."
"Payment voiding error.","Fullføring av transaksjonen feilet."
"Invalid amount for refund.","Ugyldig beløp for tilbakebetaling."
"Payment refunding error.","Tilbakebetaling feilet."
"The transaction was declined because the response hash validation failed.","Transaksjonen ble nektet, siden validering feilet."
"This payment didn't work out because we can't find this order.","Denne betalingen ble ikke utført fordi vi ikke kunne finne denne bestillingen."
"There was a payment authorization error.","Det oppstod en feil ved betaling, grunnet valideringsfeil."
"Please enter a transaction ID to authorize this payment.","Vennligst fyll inn transaksjonsnummer for å autorisere denne betalingen."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Noe gikk galt: det betalte beløpet samsvarer ikke med bestillingsbeløpet. Korriger dette, og prøv på nytt."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaksjon %1 har blitt godkjent. Beløp %2. Transaksjonsstatus er ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaksjon %1 har blitt avslått. Transaksjonsstatus er ""%2"". Beløp %3."
"Authorize Only","Bare godkjenne"
"Authorize and Capture","Godkjenn og fang"
"Unable to get transaction details. Try again later.","Kan ikke hente transaksjonsdetaljene. Prøv igjen senere."
"Electronic payments save the trees.","Elektroniske betalinger sparer trærne."
"Credit Card Type",Kredittkorttype
"Please Select","Vennligst velg"
"Credit Card Number",Kredittkortnummer
"Expiration Date",Utløpsdato
"Card Verification Number","Kort verifikasjonsnummer"
"Fraud Detection ","Avdekking av svindel "
"FDS Filter Action","FDS filterhandling"
"AVS Response","AVS svar"
"Card Code Response","Kode fra kortutsteder:"
"CAVV Response","CAVV svar"
"Fraud Filters",Svindel-filtre
"Place Order",Bestill
"Sorry, but something went wrong. Please contact the seller.","Beklager, men noe gikk galt. Ta kontakt med selgeren."
"Authorize.net Direct Post","Authorize.net direkte Post"
Enabled,Aktivert
"Payment Action",Betalingshandling
Title,Tittel
"API Login ID","API påloggings-ID"
"Transaction Key",Transaksjonsnøkkel
"Merchant MD5","Kjøpmann MD5"
"New Order Status","Ny ordrestatus"
"Test Mode",Testmodus
"Transaction Details URL","Transaksjonsdetaljer URL"
"Accepted Currency","Akseptert valuta"
Debug,Feilsøk
"Email Customer","E-post kunde"
"Merchant's Email","Forhandlerens e-post"
"Credit Card Types",Kredittkorttyper
"Credit Card Verification",Bankkort-verifisering
"Payment from Applicable Countries","Betaling fra aktuelle land"
"Payment from Specific Countries","Betaling fra bestemte land"
"Minimum Order Total","Minimum ordretotal"
"Maximum Order Total","Maks ordretotal"
"Sort Order",Sorteringsrekkefølge
"Cannot place order.","Kan ikke plassere ordre."
"'Gateway error: ' .","'Gateway-feil: '."
"Unable to place order. Please try again later.","Kan ikke ta imot bestilling. Prøv igjen senere."
"A server error stopped your order from being placed. Please try to place your order again.","En serverfeil stoppet bestillingen fra blir gjennomført. Prøv å bestille igjen."
"The transaction details are unavailable. Please try again later.","Transaksjonsdetaljer er ikke tilgjengelige. Prøv igjen senere."
"Signature Key","Signatur nøkkel"
"Basic Authorize.Net Settings","Grunnleggende Authorize.Net innstillinger"
Environment,Miljø
"Public Client Key","Offentlig klientnøkkel"
"Merchant MD5 (deprecated)","Butikk MD5 (foreldet)"
"Advanced Authorize.Net Settings","Grunnleggende Authorize.Net innstillinger"
"Enable Credit Card Verification Field","Aktiver CSV verifikasjonsfelt"
"Invalid request to gateway.","Ugyldig forespørsel til gateway."
"Transaction has been declined. Please try again later.","Transaksjonen er avslått. Prøv igjen senere."
options,innstillinger
"Select all","Velg alle"
"Deselect all","Opphev merking"
Selected,Valgt
"We couldn't find any records.","Vi kunne ikke finne noen poster."
" Item(s)"," Produkt(er)"
"Items ","Produkter "
" to "," til "
" of "," av "
Page,Side
Previous,Forrige
"You're currently reading page","Du leser for øyeblikket siden"
Next,Neste
Show,Vis
"per page","per side"
"%s of %s selected","%s av %s valgt"
"Search by keyword","Søk etter nøkkelord"
"This is a required field.","Dette er et obligatorisk felt."
"B2B Features",B2B-funksjoner
"Invalid Form Key. Please refresh the page.","Ugyldig skjemanøkkel. Vennligst oppdater siden."
"You entered an invalid Secret Key. Please refresh the page.","Du oppga en ugyldig hemmelig nøkkel. Oppdater siden."
"Invalid security or form key. Please refresh the page.","Ugyldig skjemanøkkel. Vennligst oppdater siden."
"Cache Storage Management","Cache lagringsadministrasjon"
"Flush Magento Cache","Tømme Magento Cache"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Mellomlageret kan inneholde ekstra data. Er du sikker på at du vil tømme det?"
"Flush Cache Storage","Tømme Cache-lager"
Invalidated,Ugyldiggjort
Orders,Ordrer
Amounts,Beløp
Bestsellers,Bestselgere
"Most Viewed Products","Produkter som er mest sett"
"New Customers","Nye kunder"
Customer,Kunde
Guest,Gjest
Items,Produkter
Total,Totalt
"Lifetime Sales","Total salg"
"Average Order","Gjennomsnittlig ordre"
Average,Gjennomsnitt
Views,Visninger
Revenue,Inntekter
Tax,Avgift
Shipping,Frakt
"Images (.gif, .jpg, .png)","Bilder (GIF, jpg, PNG)"
"Media (.avi, .flv, .swf)","Media (AVI, FLV, SWF)"
"All Files","Alle filer"
"Reset to Default","Tilbakestill til standard"
"All Store Views","Alle butikkvisninger"
"What is this?","Hva er dette?"
"Save Account","Lagre konto"
"My Account","Min konto"
"Account Information",Kontoinformasjon
"User Name",Brukernavn
"First Name",Fornavn
"Last Name",Etternavn
Email,E-post
"User Email","Bruker epost"
"New Password","Nytt passord"
"Password Confirmation",Passordbekreftelse
"Interface Locale","Spåk for grensesnitt"
"Current User Identity Verification","Gjeldende bruker identitetsbekreftelse"
"Your Password","Ditt passord"
"Save Cache Settings","Lagre innstillinger for buffer"
"Catalog Rewrites",Karalogomskriving
Refresh,Oppdater
"Images Cache",Bildebuffer
Clear,Tøm
"Search Index",Søkeindex
Rebuild,Gjenoppbygg
"Inventory Stock Status",Lagerstatus
"Rebuild Catalog Index","Gjenoppbygg katalogindeksen"
"Rebuild Flat Catalog Category","Gjenoppbygg flat katalogkategori"
"Rebuild Flat Catalog Product","Gjenoppbygg flat katalogprodukt"
"Cache Control","Cache Kontroll"
"All Cache","Alt lagret i Cache"
"No change","Ingen endringer"
Disable,Deaktiver
Enable,Aktivere
"Add Design Change","Legge til en designendring"
Delete,Slett
Save,Lagre
"Edit Design Change","Redigere designet"
"New Store Design Change","Ny endring butikkdesign"
"General Settings","Generelle innstillinger"
"-- Please Select --","-Vennligst velg--"
"Custom Design","Tilpasset design"
"Date From","Dato fra"
"Date To","Dato til"
"Design Change",Design-endring
General,Generelt
"Delete %1 '%2'","Slett %1 '%2'"
"Delete %1","Slett %1"
"Block Information",Blokkinformasjon
